City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Albany,US,2020-01-05 22:26:07,42.65,-73.75,33.01,68,90,11.41,overcast clouds,0.0,0.0
1,Nikolskoye,RU,2020-01-05 22:27:53,59.7,30.79,24.01,79,81,4.47,broken clouds,0.0,0.0
2,Belushya Guba,RU,2020-01-05 22:27:53,59.7,30.79,24.01,79,81,4.47,broken clouds,0.0,0.0
3,Aklavik,CA,2020-01-05 22:27:54,68.22,-135.01,-16.6,62,90,10.29,light snow,0.0,0.0
4,Mar Del Plata,AR,2020-01-05 22:23:46,-46.43,-67.52,69.57,33,100,6.33,overcast clouds,0.0,0.0
5,Pevek,RU,2020-01-05 22:23:24,69.7,170.27,-6.29,82,0,5.59,clear sky,0.0,0.0
6,Pisco,PE,2020-01-05 22:27:54,-13.71,-76.2,73.0,30,69,19.46,broken clouds,0.0,0.0
7,Bubaque,GW,2020-01-05 22:27:54,11.28,-15.83,77.5,57,5,18.01,clear sky,0.0,0.0
8,Ondjiva,AO,2020-01-05 22:27:54,-17.07,15.73,69.91,76,100,5.41,overcast clouds,0.0,0.0
9,Atuona,PF,2020-01-05 22:27:55,-9.8,-139.03,80.56,67,0,4.74,clear sky,0.0,0.0
10,Half Moon Bay,US,2020-01-05 22:27:55,37.46,-122.43,61.0,71,1,14.99,clear sky,0.0,0.0
11,Tagoytoy,PH,2020-01-05 22:27:55,13.42,123.68,71.8,94,100,8.46,light rain,1.5,0.0
12,Meulaboh,ID,2020-01-05 22:27:55,4.14,96.13,80.4,81,0,6.78,clear sky,0.0,0.0
13,Vaitupu,ID,2020-01-05 22:27:55,4.14,96.13,80.4,81,0,6.78,clear sky,0.0,0.0
14,Butaritari,KI,2020-01-05 22:27:56,3.07,172.79,85.28,76,100,15.26,moderate rain,3.81,0.0
15,Concordia,AR,2020-01-05 22:27:56,-31.4,-58.02,88.0,38,0,7.0,clear sky,0.0,0.0
16,Alofi,NU,2020-01-05 22:27:56,-19.06,-169.92,84.2,74,1,11.41,light rain,0.19,0.0
17,Vaini,IN,2020-01-05 22:27:56,15.34,74.49,66.11,79,0,6.89,clear sky,0.0,0.0
18,Kapaa,US,2020-01-05 22:27:56,22.08,-159.32,80.6,69,40,14.99,scattered clouds,0.0,0.0
19,Bengkulu,US,2020-01-05 22:27:56,22.08,-159.32,80.6,69,40,14.99,scattered clouds,0.0,0.0
20,Busselton,AU,2020-01-05 22:27:57,-33.64,115.35,53.01,97,0,9.35,clear sky,0.0,0.0
21,Hinton,CA,2020-01-05 22:27:57,53.4,-117.57,27.43,66,100,15.14,overcast clouds,0.0,0.0
22,Thinadhoo,MV,2020-01-05 22:27:57,0.53,72.93,81.39,77,98,3.31,light rain,1.19,0.0
23,Salisbury,GB,2020-01-05 22:27:57,51.07,-1.8,46.99,87,100,8.05,overcast clouds,0.0,0.0
24,Goderich,CA,2020-01-05 22:27:57,43.74,-81.71,30.0,86,100,10.0,overcast clouds,0.0,0.0
25,Punta Arenas,CL,2020-01-05 22:27:58,-53.16,-70.91,53.6,54,40,26.4,scattered clouds,0.0,0.0
26,Bambous Virieux,MU,2020-01-05 22:27:58,-20.34,57.76,73.4,100,75,10.29,moderate rain,0.0,0.0
27,Sehithwa,BW,2020-01-05 22:27:58,-20.47,22.7,76.86,69,84,12.91,light rain,1.13,0.0
28,West Wendover,US,2020-01-05 22:27:58,40.74,-114.07,42.8,52,40,14.99,scattered clouds,0.0,0.0
29,Port Alfred,ZA,2020-01-05 22:27:58,-33.59,26.89,69.01,90,50,1.01,scattered clouds,0.0,0.0
30,Hearst,CA,2020-01-05 22:27:59,49.69,-83.67,10.45,95,100,6.29,overcast clouds,0.0,0.0
31,Hermanus,ZA,2020-01-05 22:27:59,-34.42,19.24,64.0,90,100,11.03,overcast clouds,0.0,0.0
32,Dzhebariki-Khaya,RU,2020-01-05 22:27:59,62.22,135.8,-5.58,99,100,1.1,light snow,0.0,0.19
33,Port Elizabeth,US,2020-01-05 22:27:59,39.31,-74.98,39.99,47,90,13.87,overcast clouds,0.0,0.0
34,Ushuaia,AR,2020-01-05 22:27:59,-54.81,-68.31,51.8,62,40,26.4,scattered clouds,0.0,0.0
35,Lydenburg,ZA,2020-01-05 22:27:59,-25.1,30.46,62.62,86,26,2.01,light rain,1.13,0.0
