City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,La Ronge,CA,2020-01-05 19:25:58,55.1,-105.3,3.2,71,5,9.17,clear sky,0.0,0.0
1,Baihar,IN,2020-01-05 19:25:58,22.11,80.55,52.38,65,0,1.86,clear sky,0.0,0.0
2,Tumannyy,IN,2020-01-05 19:25:58,22.11,80.55,52.38,65,0,1.86,clear sky,0.0,0.0
3,Neyshabur,IR,2020-01-05 19:25:59,36.21,58.79,35.44,93,98,8.86,light snow,0.0,0.44
4,East London,ZA,2020-01-05 19:25:59,-33.02,27.91,68.0,94,75,9.17,broken clouds,0.0,0.0
5,Saleaula,ZA,2020-01-05 19:25:59,-33.02,27.91,68.0,94,75,9.17,broken clouds,0.0,0.0
6,Portland,US,2020-01-05 19:25:59,43.66,-70.25,34.0,47,40,16.11,scattered clouds,0.0,0.0
7,Kaitangata,NZ,2020-01-05 19:25:59,-46.28,169.85,50.0,70,94,14.0,light rain,1.37,0.0
8,Avarua,CK,2020-01-05 19:26:00,-21.21,-159.78,80.6,88,100,9.17,light rain,0.81,0.0
9,Atuona,PF,2020-01-05 19:26:00,-9.8,-139.03,80.49,66,0,4.27,clear sky,0.0,0.0
10,Rikitea,PF,2020-01-05 19:26:00,-23.12,-134.97,76.03,75,4,13.8,clear sky,0.0,0.0
11,Castro,CL,2020-01-05 19:26:00,-42.48,-73.76,59.0,58,75,12.75,broken clouds,0.0,0.0
12,Ponta Do Sol,BR,2020-01-05 19:26:00,-20.63,-46.0,81.46,61,59,6.58,light rain,0.44,0.0
13,Qaanaaq,GL,2020-01-05 19:26:01,77.48,-69.36,-29.02,49,0,5.19,clear sky,0.0,0.0
14,Marquette,US,2020-01-05 19:26:01,46.54,-87.4,30.0,86,90,17.22,snow,0.0,0.0
15,Naze,NG,2020-01-05 19:26:01,5.43,7.07,86.0,51,0,2.24,dust,0.0,0.0
