City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
8,Avarua,CK,80.6,light rain,-21.21,-159.78,Paradise Inn
9,Atuona,PF,80.49,clear sky,-9.8,-139.03,Villa Enata
10,Rikitea,PF,76.03,clear sky,-23.12,-134.97,Pension Maro'i
12,Ponta Do Sol,BR,81.46,light rain,-20.63,-46,Hotel Escarpas do Lago
15,Naze,NG,86,dust,5.43,7.07,Female Hostel C
16,Kapaa,US,77,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
17,Puerto Ayora,EC,84.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
20,Road Town,VG,82.4,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
21,Yarada,IN,75.2,mist,17.65,83.27,JV's Green Valley Beach Resort
22,Kavaratti,IN,80.87,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
25,Barrow,AR,80.47,light rain,-38.31,-60.23,
26,Padilla,CO,89.6,broken clouds,3.23,-76.31,La Granadina
30,Saltillo,MX,70,clear sky,25.42,-100.99,City Express Saltillo Norte
32,Tadine,NC,73.53,clear sky,-21.55,167.88,
33,Butaritari,KI,85.42,light rain,3.07,172.79,Isles Sunset Lodge
36,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
37,Belushya Guba,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
42,Coruripe,BR,81.01,overcast clouds,-10.12,-36.18,Pousada e Hotel Litoral Sul
47,Buala,SB,80.67,broken clouds,-8.15,159.59,Maringe Lagoon Lodge
48,Coronado,PA,90,few clouds,8.53,-79.9,Coronado Luxury Club & Suites
49,Viligili,PA,90,few clouds,8.53,-79.9,Coronado Luxury Club & Suites
57,Hilo,US,73.4,moderate rain,19.71,-155.08,Hilo Seaside Hotel
58,Puerto Madryn,AR,76.12,overcast clouds,-42.77,-65.04,Hotel Tolosa
60,Teahupoo,PF,84.2,few clouds,-17.83,-149.27,Vanira Lodge
64,San Joaquin,PH,75.51,clear sky,10.59,122.14,Cocotel GarinFarm Pilgrimage Resort
69,Sabang,PH,79,clear sky,13.8,121.11,SM TRAVELODGE
70,Rungata,PH,79,clear sky,13.8,121.11,SM TRAVELODGE
82,Dingle,PH,72.91,light rain,11,122.67,Camp Pasica
86,Bandarbeyla,SO,78.44,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
87,Lolua,SO,78.44,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
89,Kavieng,PG,84.24,moderate rain,-2.57,150.8,Nusa Island Retreat
90,Arraial Do Cabo,BR,82.4,scattered clouds,-22.97,-42.02,Pousada Porto Praia
98,Wiwili,NI,77,few clouds,13.63,-85.83,Hospedaje gladita
99,Illoqqortoormiut,NI,77,few clouds,13.63,-85.83,Hospedaje gladita
100,Samusu,NI,77,few clouds,13.63,-85.83,Hospedaje gladita
101,Barentsburg,NI,77,few clouds,13.63,-85.83,Hospedaje gladita
102,Bangassou,CF,76.3,clear sky,4.74,22.82,
103,Tsaratanana,MG,71.83,moderate rain,-16.8,47.65,
105,Bathsheba,BB,80.6,light intensity shower rain,13.22,-59.52,Atlantis Hotel
108,Mayumba,GA,81.91,broken clouds,-3.44,10.65,LIKWALE LODGE
109,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
114,Lorengau,PG,83.89,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
115,Prieska,ZA,84.33,clear sky,-29.67,22.74,Avenue GuestHouse
118,Luganville,VU,82.4,broken clouds,-15.51,167.18,The Espiritu Hotel
128,Santana Do Livramento,BR,88.45,few clouds,-30.89,-55.53,Hotel Emirates
137,Biak,ID,79.61,light rain,-0.91,122.88,Villa Mas Biak
141,Kununurra,AU,78.8,scattered clouds,-15.77,128.74,Hotel Kununurra
